unique_id,p_error,network,s_confidence,p_predicted,p_detected,s_predicted,code,lat,plot_path,epi_distance,mag_type,provider,p_confidence,detected,catalogued,s_error,long,date,time,s_detected,mag,event_id,depth
2024-08-24_31,,AM,,2024-08-24T23:53:22.938914,,2024-08-24T23:58:27.011310,R50D6,37.9038,,3395.859677698731,ml,EMSC,,False,True,,36.2803,2024-08-24,2024-08-24T23:47:07.400000,,2.0,quakeml:eu.emsc/event/20240824_0000269,8.8
2024-08-24_32,13.646825,AM,,2024-08-24T23:47:56.393175,2024-08-24T23:48:10.040000,2024-08-24T23:49:51.945926,R50D6,46.4199,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_32_event_plot.png?raw=true,1124.302346092942,ml,EMSC,0.191521480679512,True,True,,7.479,2024-08-24,2024-08-24T23:45:29.800000,,0.9,quakeml:eu.emsc/event/20240824_0000268,3.7
2024-08-24_33,14.73199,AM,,2024-08-24T23:36:57.858010,2024-08-24T23:37:12.590000,2024-08-24T23:41:43.846648,R50D6,37.6861,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_33_event_plot.png?raw=true,2989.75719909328,ml,EMSC,0.2475896924734115,True,True,,29.1422,2024-08-24,2024-08-24T23:31:11,,3.2,quakeml:eu.emsc/event/20240824_0000266,13.3
2024-08-24_34,12.074605,AM,,2024-08-24T23:32:09.645395,2024-08-24T23:32:21.720000,2024-08-24T23:41:52.602230,R50D6,35.0865,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_34_event_plot.png?raw=true,8387.723046578836,ml,EMSC,0.5229471921920776,True,True,,-119.062,2024-08-24,2024-08-24T23:20:22.840000,,2.1,quakeml:eu.emsc/event/20240824_0000263,13.2
2024-08-24_35,,AM,,2024-08-24T23:21:41.948003,,2024-08-24T23:26:07.034186,R50D6,39.548,,2548.2269346313096,ml,EMSC,,False,True,,24.0958,2024-08-24,2024-08-24T23:16:33.792938,,3.0,quakeml:eu.emsc/event/20240824_0000261,17.0
2024-08-24_36,,AM,,2024-08-24T23:22:11.496792,,2024-08-24T23:27:17.389805,R50D6,37.2065,,3425.849227771373,ml,EMSC,,False,True,,35.8515,2024-08-24,2024-08-24T23:15:53.600000,,2.4,quakeml:eu.emsc/event/20240824_0000264,5.0
2024-08-24_37,-4.40347,AM,,2024-08-24T23:20:58.473470,2024-08-24T23:20:54.070000,2024-08-24T23:25:57.634331,R50D6,37.0013,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_37_event_plot.png?raw=true,3316.6053045151293,ml,EMSC,0.5011073350906372,True,True,,33.7543,2024-08-24,2024-08-24T23:14:49.300000,,2.1,quakeml:eu.emsc/event/20240824_0000262,6.8
2024-08-24_38,4.562469,AM,,2024-08-24T22:55:18.337531,2024-08-24T22:55:22.900000,2024-08-24T22:57:31.327655,R50D6,43.0466,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_38_event_plot.png?raw=true,1304.5545311931785,ml,EMSC,0.5975421667098999,True,True,,-0.7153,2024-08-24,2024-08-24T22:52:29.710000,,1.7,quakeml:eu.emsc/event/20240824_0000267,0.0
2024-08-24_39,,AM,,2024-08-24T22:51:25.691387,,2024-08-24T22:56:29.881471,R50D6,37.9236,,3397.7586559536576,ml,EMSC,,False,True,,36.3372,2024-08-24,2024-08-24T22:45:10,,1.7,quakeml:eu.emsc/event/20240824_0000271,7.0
2024-08-24_40,1.588852,AM,,2024-08-24T22:46:59.731148,2024-08-24T22:47:01.320000,2024-08-24T22:48:58.641595,R50D6,45.8628,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-24/report/2024-08-24_40_event_plot.png?raw=true,1158.8579588593595,ml,EMSC,0.609441339969635,True,True,,6.9734,2024-08-24,2024-08-24T22:44:28.900000,,0.1,quakeml:eu.emsc/event/20240824_0000285,0.7
